fold,epoch,metric,validation,training,error_ratio
1,0,combined,0.07779920043910461,0.061348336442287515,1.2681550136619106
1,0,per_interface_ics,0.07220989463160933,0.06069156743798074,1.189784638622143
1,0,per_interface_ips,0.10660421482944452,0.07564791098498627,1.4092155809907572
1,0,bb_lddt,0.041563295461558326,0.03279539471359429,1.2673515847128858
1,0,oligo_gdtts,0.057076137653532304,0.052901678667251484,1.078909764140717
1,0,oligo_gdtha,0.05380880052840794,0.049691452344938936,1.0828582782183132
1,0,ilddt,0.0713188016178931,0.05907438948195831,1.2072710736972458
1,0,ics,0.08298296991865027,0.07133356749366433,1.1633088437084071
1,0,ips,0.0903980586138104,0.06341724098858054,1.4254492501508897
1,1,combined,0.07715913849060854,0.04741561696456904,1.6272937785089903
1,1,per_interface_ics,0.07066201253777146,0.049640470178353636,1.4234758914226509
1,1,per_interface_ips,0.10784925038261907,0.06227551573971634,1.7318082251358697
1,1,bb_lddt,0.03883697018785783,0.020751348443198998,1.8715395914710389
1,1,oligo_gdtts,0.0575696614105376,0.040165918569942616,1.4332962735630983
1,1,oligo_gdtha,0.05377538962748181,0.03702144149197296,1.4525471580878737
1,1,ilddt,0.06659449480534284,0.04162182234247652,1.5999898864923277
1,1,ics,0.08261795690809738,0.05065972276121576,1.6308410785727456
1,1,ips,0.09098138595935851,0.045792453168553404,1.986820527488954
1,2,combined,0.0725070739287958,0.04360709768042284,1.662735604652438
1,2,per_interface_ics,0.06851356223195881,0.045861197311778935,1.4939331340649904
1,2,per_interface_ips,0.09998044657025752,0.05813241710253515,1.7198742380505176
1,2,bb_lddt,0.03568097038155155,0.01835334507198448,1.9441126531215758
1,2,oligo_gdtts,0.05233602442977261,0.037316122979196745,1.402504339985943
1,2,oligo_gdtha,0.04887923389085899,0.034476415663602135,1.4177585735068852
1,2,ilddt,0.06410088981451922,0.037061644238550816,1.7295749050400386
1,2,ics,0.07643318328256708,0.04542491366815915,1.6826269355387538
1,2,ips,0.08717254838458678,0.04133891452786261,2.108728528075697
1,3,combined,0.07218637633256768,0.041381547824933126,1.7444097702182635
1,3,per_interface_ics,0.06733608179630798,0.043329122672828374,1.554060586565588
1,3,per_interface_ips,0.09677546303597731,0.055705647757904805,1.737264836351258
1,3,bb_lddt,0.037036048676755404,0.01711673786421767,2.16373288944144
1,3,oligo_gdtts,0.05568480102403205,0.03578702544989915,1.5560052930911856
1,3,oligo_gdtha,0.05079254010321266,0.0330791043796348,1.535487161934262
1,3,ilddt,0.06288817015874482,0.03448633897996644,1.823567592816314
1,3,ics,0.07966430293917812,0.04249462950002743,1.8746910815901265
1,3,ips,0.08783600633938174,0.03912028230763005,2.245280482606592
1,4,combined,0.07325928376871374,0.039805666909277906,1.8404234737652005
1,4,per_interface_ics,0.0682474441132772,0.041555859998406025,1.6423061420433842
1,4,per_interface_ips,0.09801534347506485,0.053809557058449906,1.8215229567602091
1,4,bb_lddt,0.03388924465824188,0.016291232044542806,2.0802137349454797
1,4,oligo_gdtts,0.05477581260775935,0.034848879966668245,1.5718098446822546
1,4,oligo_gdtha,0.04810243503904567,0.0321567426482396,1.4958739933716203
1,4,ilddt,0.06901618094302381,0.0327998552831117,2.104161141788925
1,4,ics,0.08235820665434333,0.04058325575380827,2.0293642075923137
1,4,ips,0.09218115034255245,0.037455710910587255,2.4610706378689096
1,5,combined,0.07056677676630344,0.03869714659444588,1.8235653782398449
1,5,per_interface_ics,0.06485788724857275,0.04024588802357319,1.6115407171680145
1,5,per_interface_ips,0.09588225378213182,0.052583610649057214,1.8234246868677306
1,5,bb_lddt,0.03385776371829537,0.01576060407276911,2.1482529198734333
1,5,oligo_gdtts,0.05008405133346701,0.034015256895039155,1.4723996202060539
1,5,oligo_gdtha,0.04441232451436352,0.03137306720847793,1.4156194617261395
1,5,ilddt,0.06394021372101506,0.031593986979997955,2.0238095863461423
1,5,ics,0.07879816546610256,0.03912622663961225,2.013947478040869
1,5,ips,0.0934883681912859,0.036523164454808695,2.5597006608494213
1,6,combined,0.07115135660715434,0.03779187713023144,1.882715599491541
1,6,per_interface_ics,0.0658600437828086,0.039166087258832145,1.6815579086970665
1,6,per_interface_ips,0.09741186940290386,0.05160417702931764,1.8876741188520787
1,6,bb_lddt,0.033745887164533125,0.015216083843370233,2.217777419729221
1,6,oligo_gdtts,0.05067615495341716,0.03339646656379798,1.5174106774622227
1,6,oligo_gdtha,0.04494470856000536,0.03075413658132673,1.461419943985514
1,6,ilddt,0.06501518529977166,0.030592473382096017,2.1252019896443297
1,6,ics,0.07841879377373515,0.03797992016635439,2.0647435126313063
1,6,ips,0.09119979900219707,0.03570364169286202,2.5543556533178524
1,7,combined,0.07111269300606629,0.037086876642987196,1.9174624407071248
1,7,per_interface_ics,0.06638980894674056,0.038321812261918005,1.7324287403994956
1,7,per_interface_ips,0.09671738160143506,0.05078950571586246,1.9042788512751467
1,7,bb_lddt,0.033549388936623306,0.014947204532366679,2.244525982365161
1,7,oligo_gdtts,0.05054934103614635,0.03294436385228026,1.534385100371199
1,7,oligo_gdtha,0.04321646988625254,0.030330592379379035,1.4248475382773687
1,7,ilddt,0.06529854722447447,0.02984646590508579,2.187815047588187
1,7,ics,0.07918681180514482,0.03707769152023999,2.135699623098657
1,7,ips,0.09223017308932004,0.03499567926769796,2.6354731503797724
1,8,combined,0.06862541276779725,0.03657600242059891,1.8762414759998134
1,8,per_interface_ics,0.06445319350471995,0.037713878757468317,1.7090046324645556
1,8,per_interface_ips,0.09518447980591971,0.0500675468462125,1.9011213011551855
1,8,bb_lddt,0.0327265648540334,0.014763541517049984,2.2167150623201377
1,8,oligo_gdtts,0.049111236608532505,0.0326634617102102,1.5035527172302416
1,8,oligo_gdtha,0.0441147403593662,0.03004843746913189,1.4681209432165756
