,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
502,324,1,2,B.I,0.049507402212111626,0.27277203443938913,298.898,1756804.26,3038640.02,-10.0,181.775,67.664,0.151
503,324,1,2,A.I,0.0005807362557863961,0.24830870146122652,,-0.0,-0.0,,57.426,-0.0,0.0
504,325,1,2,B.I,0.045264174535986974,0.27426208726799345,221.529,2279052.21,3603804.1,-8.701908258741167,133.826,67.339,0.0
505,325,1,2,A.I,0.000946204499689287,0.2521031022498446,,7290.96,14651.87,,0.614,-0.0,0.0
506,326,1,2,A.I,0.0003629608853874956,0.24536481377602706,,-0.0,-0.0,,0.01,-0.0,0.0
507,326,1,2,B.I,0.039322491728830754,0.2648445791977487,184.202,1634184.68,3188989.68,-5.95286781775133,134.718,66.5521,0.0
508,327,1,2,B.I,0.036267390670582246,0.2685753620019578,217.452,1702572.48,2808705.77,-6.734582257560989,137.753,66.4701,0.0
509,327,1,2,A.I,2.7173492924360267e-05,0.25045525341312885,,-0.0,-0.0,,-0.0,-0.0,0.0
510,328,1,2,B.I,0.028586248857027385,0.2595147910951804,243.436,1261305.25,2384113.86,-5.377185916859101,153.716,48.6092,0.026
511,328,1,2,A.I,0.006973449255926268,0.2487083912946298,42.099,394640.86,559269.82,-1.8179785549532526,65.222,11.0531,0.0
512,329,1,2,A.I,0.04620381441345671,0.26826857387339503,245.923,1383854.52,3184295.73,-4.351522657204183,104.747,67.2575,0.149
513,329,1,2,B.I,0.0006533774102789818,0.24549335537180617,,-0.0,-0.0,,-0.0,-0.0,0.0
514,33,1,2,B.I,0.037346704795062635,0.26869168573086466,229.93,1443202.75,2967855.99,-7.475755012533158,156.363,77.8828,0.0
515,33,1,2,A.I,0.00025808466957696625,0.25014737566812184,,-0.0,-0.0,,-0.0,-0.0,0.0
516,330,1,2,A.I,0.06714481990857166,0.2752357432876192,374.543,2014556.11,4175501.56,-4.526414326234365,128.128,97.5632,0.093
517,330,1,2,B.I,0.012664638190556587,0.24799565242861163,7.539,412398.29,753817.58,-0.30269007348473836,24.486,14.9448,0.0
518,331,1,2,A.I,0.0002187842973486266,0.24667939214867435,,-0.0,-0.0,,-0.0,-0.0,0.0
519,331,1,2,B.I,0.0401763645819301,0.2666581822909651,183.955,1365043.18,2788718.31,-6.150175051058835,154.675,85.3618,0.0
520,332,1,2,B.I,0.02227405217747673,0.2599103594220717,111.856,1054821.23,2155191.4,-2.9100283269075637,110.455,45.785,0.0
521,332,1,2,A.I,0.00021822750747613754,0.24888244708707138,,-0.0,-0.0,,3.77,-0.0,0.0
522,333,1,2,A.I,0.0406506991277638,0.2556353495638819,151.682,922094.87,1642965.15,-1.6064746128191072,106.763,27.8653,0.03
523,333,1,2,B.I,0.03513689083695226,0.25287844541847615,201.416,1420796.57,2853133.89,-10.0,79.598,69.552,0.0
524,334,1,2,B.I,0.02023176649375955,0.26008421658021313,191.907,1259528.31,2035798.55,-0.8542443715660792,139.059,44.3908,0.027
525,334,1,2,A.I,0.00034779291929442073,0.25014222979298056,,-0.0,-0.0,,-0.0,-0.0,0.0
526,335,1,2,B.I,0.011159796099445885,0.2502532313830563,99.593,1171352.27,2387736.38,-4.695273178517861,43.584,43.598,0.0
527,335,1,2,A.I,0.0027560561897665534,0.2460513614282166,64.529,557886.51,837604.14,-0.3406194208728774,43.308,19.0209,0.216
528,336,1,2,A.I,0.06273127189888328,0.28263063594944166,286.606,1667942.99,3437734.73,-5.269246472626306,102.243,69.9337,0.0
529,336,1,2,B.I,0.0010094896526933906,0.25176974482634673,,-0.0,-0.0,,-0.0,-0.0,0.0
530,337,1,2,B.I,0.06353595622204011,0.2747713114443534,369.463,3303553.44,5416621.36,-1.002556852581772,188.742,112.705,0.056
531,337,1,2,A.I,0.0011606839548547149,0.2435836753107607,,4302.56,16887.98,,3.158,-0.0,0.0
532,338,1,2,B.I,0.049169883640752234,0.27747327515370945,167.586,1805191.12,3560221.82,-6.876128358355934,149.704,89.9656,0.0
533,338,1,2,A.I,0.0005575828687920291,0.25316712476772935,,-0.0,-0.0,,0.078,-0.0,0.0
534,339,1,2,B.I,0.026574236422351304,0.26368211821117565,180.441,1346285.86,2680133.36,-2.009205263429808,143.653,59.9553,0.0
535,339,1,2,A.I,0.0002850937845926646,0.2505375468922963,,-0.0,-0.0,,2.327,-0.0,0.0
536,34,1,2,B.I,0.038964420014201556,0.26348221000710076,280.286,1434725.73,3141096.09,-4.912641927150109,154.002,67.2664,0.112
537,34,1,2,A.I,0.0007543280840037826,0.24437716404200188,,-0.0,-0.0,,-0.0,-0.0,0.0
538,340,1,2,B.I,0.02544981838469766,0.26175157585901554,249.72,1629683.66,3010160.81,-4.193419249360505,166.011,54.2375,0.0
539,340,1,2,A.I,0.00010260860610686178,0.24907797096972012,,-0.0,-0.0,,3.799,-0.0,0.0
540,341,1,2,B.I,0.043884801510193944,0.2666207340884303,103.344,938947.65,2038818.32,-5.784941416680914,71.242,56.4017,0.0
541,341,1,2,A.I,0.0034609802206666644,0.24640882344366666,21.009,249771.02,272984.29,-1.3704209532369054,26.928,8.36451,0.0
542,342,1,2,B.I,0.03137702909450865,0.2600468478805877,220.369,1609454.01,2894972.9,-4.6886954321763845,121.028,75.0099,0.024
543,342,1,2,A.I,0.0006569510870799851,0.24468680887687333,,-0.0,-0.0,,1.849,-0.0,0.0
544,343,1,2,B.I,0.02597030225057608,0.2632434844586214,223.74,1750473.36,2944897.54,-2.6093439401771823,135.35,60.7198,0.0
