,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
609,372,2,1,D.Z,0.05329057110357099,0.23752195221845218,46.208,396278.13,614952.97,-1.0758901672653651,46.486,-0.0,0.0
610,373,2,1,C.Z,0.11334379398540476,0.25977356365936904,118.781,1338697.6,2537966.65,-6.181309861045867,14.835,19.1019,0.0
611,373,2,1,D.Z,0.08588812142406824,0.24604572737870078,90.108,1168250.01,1497564.39,-5.316883888995217,88.678,-0.0,0.0
612,374,2,1,C.Z,0.07188791555236093,0.2379606244428471,149.008,1116157.31,1979211.24,-4.662261193237046,36.978,16.4497,0.0
613,374,2,1,D.Z,0.04702568789834913,0.2255295106158412,99.849,787444.86,769584.34,-2.4770220596931245,39.824,11.5003,0.0
614,375,2,1,C.Z,0.046625745671917684,0.21349787283595886,61.218,844515.44,950775.24,-2.4329237172771077,18.976,4.23802,0.0
615,375,2,1,D.Z,0.03335890805610688,0.20686445402805345,125.775,675506.71,1122539.24,-2.8147096465034345,10.876,15.1676,0.0
616,376,2,1,C.Z,0.03096264332198189,0.21260465499432427,4.064,161963.19,229933.42,-0.6020122602254148,53.876,-0.0,0.0
617,376,2,1,D.Z,0.09947025264555123,0.24685845965610892,107.699,1471095.42,2810366.64,-4.887675716817662,21.193,15.2317,0.0
618,377,2,1,C.Z,0.06890507292118855,0.22313586979392763,33.494,1098449.81,1610117.02,-4.289601433323039,29.246,1.92527,0.0
619,377,2,1,D.Z,0.045938966481412526,0.21165281657403962,136.741,782329.59,1522866.41,-4.821872416956456,55.613,2.35991,0.036
620,378,2,1,C.Z,0.08179195128759603,0.24624430897713134,63.493,702549.19,1224122.91,-3.2394816173666103,41.148,9.03087,0.091
621,378,2,1,D.Z,0.11082702809944749,0.2607618473830571,113.364,1772322.03,2575516.92,-6.1363357785010315,50.284,14.4119,0.172
622,379,2,1,C.Z,0.03215814610302914,0.2018724063848479,74.584,523841.7,571185.75,-2.7745205413437604,33.166,-0.0,0.0
623,379,2,1,D.Z,0.050001615685323485,0.21079414117599507,113.3,1029723.88,1741299.23,-3.852071203058623,37.067,3.65184,0.0
624,38,2,1,C.Z,0.06598940991680138,0.23992137162506738,67.109,1148619.69,1917313.22,-3.767904399357612,50.05,13.2214,0.0
625,38,2,1,D.Z,0.06228733493044274,0.23807033413188805,102.879,793209.66,1866758.17,-3.4654378728291464,39.184,8.97331,0.0
626,380,2,1,C.Z,0.07391909690923057,0.23417788178794863,59.525,837471.71,1445858.32,-6.153693856580797,48.188,16.011,0.0
627,380,2,1,D.Z,0.07309798439382575,0.23376732553024623,78.595,977576.02,1862666.09,-4.829554442778714,78.284,14.3101,0.0
628,381,2,1,C.Z,0.04553142323857173,0.2114257116192859,181.658,1088955.4,2529649.88,-4.136457889092829,66.79,6.67176,0.0
629,381,2,1,D.Z,0.035139415544836086,0.20622970777241806,63.926,989257.8,1368402.82,-3.9106726695827003,37.813,-0.0,0.0
630,382,2,1,C.Z,0.06615349499625153,0.22366508083145908,102.355,1052491.64,1645234.48,-6.067919852155939,79.004,9.99312,0.0
